zipcode,year,month,volume
11211.0,2010,3,236
11211.0,2010,11,167
11211.0,2012,4,24408
11211.0,2012,6,1066
11211.0,2012,7,6
11211.0,2012,9,11307
11211.0,2012,10,65204
11211.0,2013,2,58064
11211.0,2013,3,31652
11211.0,2013,11,9579
11211.0,2014,3,4298
11211.0,2014,9,18918
11211.0,2014,12,2560
11211.0,2015,11,10976
11211.0,2016,4,1819
11211.0,2016,10,55765
11211.0,2016,12,55129
11211.0,2018,3,24736
11211.0,2019,5,23056
11211.0,2019,6,47074
11211.0,2019,11,2521
11211.0,2020,2,25904
11211.0,2020,9,47835
11211.0,2023,4,20499
11211.0,2023,6,96902
11211.0,2024,3,106708
11212.0,2009,2,12347
11212.0,2013,1,12181
11212.0,2013,2,1179
11212.0,2014,8,2738
11212.0,2014,9,5269
11212.0,2015,5,8228
11212.0,2015,7,3915
11212.0,2017,4,1479
11212.0,2018,3,2394
11212.0,2021,11,132735
11212.0,2023,5,11007
11212.0,2024,5,26536
11213.0,2009,8,1059
11213.0,2009,9,9725
11213.0,2009,10,1666
11213.0,2009,11,885
11213.0,2009,12,38840
11213.0,2010,7,21772
11213.0,2011,9,14
11213.0,2015,11,20
11213.0,2019,10,32379
11213.0,2019,11,41770
11213.0,2021,10,73787
11214.0,2009,10,146
11214.0,2009,12,523
11214.0,2010,1,125855
11214.0,2010,2,50398
11214.0,2010,11,24702
11214.0,2010,12,4235
11214.0,2012,5,1143
11214.0,2012,10,7985
11214.0,2012,11,13871
11214.0,2013,1,2228
11214.0,2014,11,64038
11214.0,2014,12,2197
11214.0,2015,10,45191
11214.0,2015,11,3358
11214.0,2015,12,15598
11214.0,2016,1,19677
11214.0,2016,9,33964
11214.0,2016,10,40005
11214.0,2017,4,59394
11214.0,2017,5,467175
11214.0,2018,11,7782
11214.0,2019,4,97182
11214.0,2021,3,352749
11214.0,2022,3,1065
11214.0,2022,5,104183
11214.0,2022,8,234578
11214.0,2023,6,12072
11214.0,2023,12,46880
11215.0,2008,4,79524
11215.0,2008,5,28977
11215.0,2009,2,27645
11215.0,2010,7,136
11215.0,2010,10,371
11215.0,2011,2,2563
11215.0,2011,4,88150
11215.0,2012,5,0
11215.0,2012,10,72
11215.0,2013,5,401
11215.0,2014,4,151
11215.0,2014,10,22073
11215.0,2014,11,10797
11215.0,2015,4,278
11215.0,2016,3,50423
11215.0,2016,4,47371
11215.0,2016,9,19153
11215.0,2016,10,95830
11215.0,2016,11,13457
11215.0,2017,6,27248
11215.0,2017,8,268
